realDate,Date,Adj_Close,Adj_Won,Open,High,Low,Volume
2002.12.10,20021210,1950.0,40.0,1920.0,2010.0,1870.0,246648.0
2002.12.11,20021211,1950.0,0.0,1950.0,1970.0,1890.0,210702.0
2002.12.12,20021212,1960.0,10.0,1970.0,1990.0,1890.0,282338.0
2002.12.13,20021213,1990.0,30.0,2000.0,2050.0,1950.0,463825.0
2002.12.16,20021216,1880.0,-110.0,1990.0,2040.0,1840.0,178348.0
2002.12.17,20021217,1860.0,-20.0,1890.0,1920.0,1860.0,154560.0
2002.12.18,20021218,1870.0,10.0,1830.0,1950.0,1830.0,246966.0
2002.12.20,20021220,1790.0,-80.0,1860.0,1860.0,1780.0,87237.0
2002.12.23,20021223,1700.0,-90.0,1760.0,1790.0,1640.0,82093.0
2002.12.24,20021224,1540.0,-160.0,1620.0,1700.0,1510.0,90267.0
2002.12.26,20021226,1470.0,-70.0,1510.0,1540.0,1460.0,105674.0
2002.12.27,20021227,1430.0,-40.0,1400.0,1450.0,1400.0,42581.0
2002.12.30,20021230,1350.0,-80.0,1370.0,1380.0,1280.0,62102.0
2003.01.02,20030102,1440.0,90.0,1380.0,1470.0,1370.0,69751.0
2003.01.03,20030103,1480.0,40.0,1440.0,1530.0,1440.0,38872.0
2003.01.06,20030106,1470.0,-10.0,1520.0,1520.0,1430.0,42244.0
2003.01.07,20030107,1520.0,50.0,1500.0,1550.0,1490.0,147172.0
2003.01.08,20030108,1490.0,-30.0,1540.0,1540.0,1490.0,81239.0
2003.01.09,20030109,1400.0,-90.0,1470.0,1470.0,1350.0,183399.0
2003.01.10,20030110,1330.0,-70.0,1400.0,1420.0,1300.0,132615.0
2003.01.13,20030113,1370.0,40.0,1310.0,1390.0,1300.0,158060.0
2003.01.14,20030114,1420.0,50.0,1400.0,1430.0,1380.0,123596.0
2003.01.15,20030115,1500.0,80.0,1450.0,1560.0,1420.0,407897.0
2003.01.16,20030116,1440.0,-60.0,1560.0,1560.0,1440.0,126702.0
2003.01.17,20030117,1320.0,-120.0,1470.0,1470.0,1320.0,155414.0
2003.01.20,20030120,1310.0,-10.0,1290.0,1330.0,1270.0,49886.0
2003.01.21,20030121,1280.0,-30.0,1300.0,1330.0,1280.0,43712.0
2003.01.22,20030122,1280.0,0.0,1270.0,1290.0,1250.0,59377.0
2003.01.23,20030123,1290.0,10.0,1270.0,1310.0,1260.0,43749.0
2003.01.24,20030124,1200.0,-90.0,1310.0,1310.0,1200.0,57058.0
2003.01.27,20030127,1150.0,-50.0,1140.0,1160.0,1110.0,30574.0
2003.01.28,20030128,1150.0,0.0,1110.0,1160.0,1110.0,48178.0
2003.01.29,20030129,1140.0,-10.0,1150.0,1220.0,1120.0,28218.0
2003.01.30,20030130,1120.0,-20.0,1140.0,1170.0,1120.0,56714.0
2003.02.03,20030203,1130.0,10.0,1100.0,1170.0,1100.0,39441.0
2003.02.04,20030204,1150.0,20.0,1150.0,1160.0,1130.0,34692.0
2003.02.05,20030205,1140.0,-10.0,1130.0,1150.0,1130.0,20282.0
2003.02.06,20030206,1180.0,40.0,1160.0,1200.0,1160.0,106991.0
2003.02.07,20030207,1110.0,-70.0,1170.0,1170.0,1100.0,66125.0
2003.02.10,20030210,1070.0,-40.0,1070.0,1110.0,1070.0,73337.0
2003.02.11,20030211,1040.0,-30.0,1070.0,1100.0,1010.0,71233.0
2003.02.12,20030212,1030.0,-10.0,1060.0,1080.0,1020.0,69355.0
2003.02.13,20030213,1010.0,-20.0,1010.0,1050.0,1010.0,35294.0
2003.02.14,20030214,1020.0,10.0,1010.0,1030.0,1000.0,45209.0
2003.02.17,20030217,1140.0,120.0,1070.0,1140.0,1050.0,166390.0
2003.02.18,20030218,1270.0,130.0,1210.0,1270.0,1180.0,293969.0
2003.02.19,20030219,1420.0,150.0,1390.0,1420.0,1330.0,126625.0
2003.02.20,20030220,1430.0,10.0,1520.0,1520.0,1330.0,753127.0
2003.02.21,20030221,1500.0,70.0,1440.0,1550.0,1350.0,472824.0
2003.02.24,20030224,1420.0,-80.0,1530.0,1530.0,1410.0,333437.0
2003.02.25,20030225,1400.0,-20.0,1460.0,1490.0,1300.0,184814.0
2003.02.26,20030226,1560.0,160.0,1410.0,1560.0,1370.0,569948.0
2003.02.27,20030227,1500.0,-60.0,1630.0,1680.0,1380.0,535934.0
2003.02.28,20030228,1390.0,-110.0,1490.0,1490.0,1380.0,103804.0
2003.03.03,20030303,1270.0,-120.0,1410.0,1450.0,1260.0,154843.0
2003.03.04,20030304,1140.0,-130.0,1300.0,1370.0,1140.0,303813.0
2003.03.05,20030305,1120.0,-20.0,1180.0,1180.0,1060.0,139026.0
2003.03.06,20030306,1080.0,-40.0,1110.0,1140.0,1060.0,132493.0
2003.03.07,20030307,1070.0,-10.0,1030.0,1200.0,1030.0,227954.0
2003.03.10,20030310,1190.0,120.0,1120.0,1190.0,1110.0,241878.0
2003.03.11,20030311,1140.0,-50.0,1200.0,1200.0,1050.0,198970.0
2003.03.12,20030312,1150.0,10.0,1110.0,1210.0,1080.0,143624.0
2003.03.13,20030313,1070.0,-80.0,1160.0,1170.0,1070.0,66450.0
2003.03.14,20030314,1150.0,80.0,1130.0,1180.0,1120.0,88084.0
2003.03.17,20030317,1030.0,-120.0,1140.0,1150.0,1020.0,76488.0
2003.03.18,20030318,1060.0,30.0,1080.0,1110.0,1060.0,29845.0
2003.03.19,20030319,1030.0,-30.0,1060.0,1090.0,1030.0,47325.0
2003.03.20,20030320,1120.0,90.0,1030.0,1120.0,1030.0,44617.0
2003.03.21,20030321,1180.0,60.0,1120.0,1200.0,1120.0,93395.0
2003.03.24,20030324,1120.0,-60.0,1200.0,1200.0,1120.0,59062.0
2003.03.25,20030325,1130.0,10.0,1070.0,1170.0,1050.0,61801.0
2003.03.26,20030326,1200.0,70.0,1170.0,1200.0,1120.0,75781.0
2003.03.27,20030327,1250.0,50.0,1170.0,1250.0,1150.0,53090.0
2003.03.28,20030328,1220.0,-30.0,1250.0,1320.0,1220.0,45561.0
2003.03.31,20030331,1090.0,-130.0,1210.0,1210.0,1090.0,38646.0
2003.04.01,20030401,1160.0,70.0,1140.0,1160.0,1100.0,28353.0
2003.04.02,20030402,1200.0,40.0,1140.0,1200.0,1140.0,40650.0
2003.04.03,20030403,1210.0,10.0,1220.0,1240.0,1160.0,78922.0
2003.04.04,20030404,1210.0,0.0,1180.0,1230.0,1170.0,27711.0
2003.04.07,20030407,1310.0,100.0,1200.0,1310.0,1200.0,49156.0
2003.04.08,20030408,1270.0,-40.0,1270.0,1340.0,1270.0,63980.0
2003.04.09,20030409,1210.0,-60.0,1250.0,1300.0,1200.0,41417.0
2003.04.10,20030410,1230.0,20.0,1190.0,1240.0,1160.0,20286.0
2003.04.11,20030411,1250.0,20.0,1210.0,1310.0,1210.0,61394.0
2003.04.14,20030414,1230.0,-20.0,1230.0,1290.0,1220.0,60124.0
2003.04.15,20030415,1370.0,140.0,1260.0,1370.0,1240.0,128615.0
2003.04.16,20030416,1370.0,0.0,1370.0,1440.0,1340.0,83302.0
2003.04.17,20030417,1340.0,-30.0,1420.0,1420.0,1290.0,48946.0
2003.04.18,20030418,1390.0,50.0,1340.0,1430.0,1340.0,78428.0
2003.04.21,20030421,1430.0,40.0,1440.0,1440.0,1370.0,32909.0
2003.04.22,20030422,1380.0,-50.0,1390.0,1450.0,1360.0,74401.0
2003.04.23,20030423,1380.0,0.0,1380.0,1420.0,1370.0,42196.0
2003.04.24,20030424,1360.0,-20.0,1390.0,1400.0,1330.0,43838.0
2003.04.25,20030425,1300.0,-60.0,1390.0,1390.0,1250.0,59504.0
2003.04.28,20030428,1350.0,50.0,1250.0,1360.0,1250.0,36266.0
2003.04.29,20030429,1340.0,-10.0,1390.0,1390.0,1330.0,19750.0
2003.04.30,20030430,1300.0,-40.0,1330.0,1360.0,1300.0,35777.0
2003.05.02,20030502,1290.0,-10.0,1280.0,1340.0,1280.0,13470.0
2003.05.06,20030506,1440.0,150.0,1290.0,1440.0,1290.0,85772.0
2003.05.07,20030507,1590.0,150.0,1490.0,1610.0,1490.0,187922.0
2003.05.09,20030509,1550.0,-40.0,1600.0,1600.0,1460.0,101584.0
2003.05.12,20030512,1600.0,50.0,1570.0,1720.0,1570.0,108877.0
2003.05.13,20030513,1550.0,-50.0,1580.0,1620.0,1510.0,64451.0
2003.05.14,20030514,1570.0,20.0,1510.0,1600.0,1500.0,54319.0
2003.05.15,20030515,1640.0,70.0,1670.0,1670.0,1550.0,19405.0
2003.05.16,20030516,1650.0,10.0,1640.0,1650.0,1570.0,5151.0
2003.05.19,20030519,1630.0,-20.0,1670.0,1670.0,1490.0,55421.0
2003.05.20,20030520,1590.0,-40.0,1590.0,1610.0,1530.0,12811.0
2003.05.21,20030521,1510.0,-80.0,1590.0,1600.0,1400.0,65412.0
2003.05.22,20030522,1440.0,-70.0,1510.0,1550.0,1440.0,15536.0
2003.05.23,20030523,1470.0,30.0,1450.0,1550.0,1430.0,8244.0
